,tweet,lenght,label
176,Two wrongs dont make a right but why is it that you have never called out the Afg Taliban for violating the promises made by them to not provide safe havens to the terrorists Airstrikes do cause collateral damage so will you support a ground operation inside Afg by Pak army,274,1
177,2 terrorists held in India met Pak Army Major who is seen in photo with IAFs Abhinandan  WION 2 terrorists held in India met Pak Army Major who is seen in photo with IAFs AbhinandanWION  ,187,0
178,2 terrorists held in India met Pak Army Major who is seen in photo with IAFs Abhinandan  ,89,0
179,Andy Vermaut sharesPak Army soldier embraces martyrdom in a terrorist attack in Balochistan  embraced martyrdom while fighting terrorists in   Thank you     ,157,0
180, not ISIS but these all do by Pakistan army isi Pak Army promote and supply terrorists They bombarded on houses of khost which they killed more than 50 children women and elder,176,1
181, After aiding Pak Army supported Taliban finish Afghanistan a country undefeated for 400 yrs it seems Biden has put in his lot with core jihadis in Pakistan establishment what else would prompt Dems to send a rep to a destitute terrorist country only for political signaling,274,1
182,  did this person just call Pak Army a terrorist You bombed N Waziristan with jets multiple times right and allowed US to bomb tribal areas with drones taking off from Shamsi airbase right,188,0
183, Now u understand why was she therea terrorist attackLooks like the US has started the funding again to ISI amp Pak Armyshame  ,127,1
184,  Imrans hatred for army is well known He is the only politician who went to a UK court to testify in favour of BLA terrorists and claim that their killing of Pak Army personnel is correct because Pak Army commits genocide His statements about Armys role in Bangladsh are on record  ,283,1
185,Pak Army has successfully fought the war against Terrorist  ,60,0
186, Pak Army sniper killing BLA terrorists in Baluchistan Graphic  ,64,0
187,Pak Army SSG snipers killing BLA terrorists in Panjgur Baluchistan Graphic        ,82,0
188, like terrorist is now days minister of Defense      Evidence  Pervious Speech against Pak Army This is Called imported Government ,131,0
189,We do not need your sympathy but controlling  THUGs   ,54,0
190, Very true  Armys primary job is defend borders ISI must ensure no terror attacks happen in Pak Army Generals must ensure our troops are not easy target for terrorists  Sipahi keep laying life for country while they are under equipped  Generals hide behind their sacrifices,273,0
191, Koi fayda nahi hai terrorists ko maarke fundamentals par jab tak nahi jaayenge tab tak kuch nahi hoga Real Problem is Pak Army unke jawanon ko har hafte pelte raho ceasefire turant khatm karo roz thoko unko vo hai asli solution,228,1
192,2 terrorists held in India met Pak Army Major who is seen in photo with IAFs Abhinandan  WION 2 terrorists held in India met Pak Army Major who is seen in photo with IAFs AbhinandanWION  ,187,0
193,2 terrorists held in India met Pak Army Major who is seen in photo with IAFs Abhinandan  WION 2 terrorists held in India met Pak Army Major who is seen in photo with IAFs AbhinandanWION  ,187,0
194, Wherever you find the body of the miscreants you come to shine your ugly politics In this camp there were PTMraised TTP terrorists Who had martyred 7 innocent soldiers of Pak army in Angor Ada,193,0
195,They are ok if terrorists attack our soldiers but will go for strike if Pak Army retaliate amp hunt  terrorists  ,113,0
196, More than 400 Pakistanis got killed by afghans in last 4 months They are not innocent hosting terrorists against Pakistan We have rights to do so,146,0
197, Lol these terrorists can never win against us how many r they gonna kill 10k 20k Pak army total personal r more then 1M and 40 r Pashtuns and 200917 terrorism have degrees  89 thanks to our Army and FC forces in Balochistan and guess what,239,0
198,MrModi  You visited Nawaj Shariffs house amp what India got in return Pathankot  Dont exchange congratulatory messages with Pak PMThey dont deserve such decencyTell him clearly if required Indian army will come to Pak amp deal with their terrorists  ,250,0
199, Its been close to a week now i guess and     havnt uttered a word of condemnation agnst the ghastly murder of 7 Pak army personnel by TTP terrorists frm across border No mention all these years of RAWs role in TTP support either,229,0
200,Pakistani state killed innocent child women and old citizens in jet bombing on the Name of TTP terrorist But now everyone knows that TTP sit in GHQ But state starts new war on Innocent Pashtuns Pak Army the killer of Pashtuns Nation     ,237,1
201,  there is no Azad Kashmirone is Indian Kashmir and the other is pak occupied Kashmirwhose citizens want to be integrated with India several proIndia rallies have been held as they are frustrated for being colonised and made nurturing ground for terrorists by pak army  ,270,1
202,   Elements of Afghan army and intelligence have been involved in stroking ethnic violence and involvement with terrorist activities in Pak All of these have been documents since late 80s Pak will not allow Afg to return to warlord days of the 90s 22,250,0
203, 911ISIS BaghdadiOsamaTalibanBoko Haram all inspired by HindutvaBiggest terrorist organisation Pak ArmyISI are also inspired by HindutvaKilling of ShiasHazaras children in Afghanistan is done by Sanatanis,204,1
204, What about the horrific attacks from afghan terrorist on pak army where we lost our 7 jawan in Waziristan that day  Why no condemnation on that  I dont get it  You call yourself an afghani pashtun you speak against the army and you are a member of Pakistani parliament  1,272,1
205, But you keep mum when these Haraami and terrorists attacks the peaceful procession Actually the people like you are like Pak Army providing cover fire to such terrorists  You should be punished and the system  will be O K automatically,236,0
206, If its Pakistan army surely a paid Raw agent spreading terrorism must have died  As a baloch by blood I support pak army not terrorist India that spread its propaganda proxies in balochistan   ,194,0
207,During war with Pakistan Supreme Court has power to stop Indian Army from attacking Pak Army terrorists on humanitarian ground       ,133,1
208,Is it faulty upbringing or family Sanskaars pushing some  Muslim Youth turning terrorists READ 2 held for terror met Pak Army Major in Abhinandan photo police to court     Shared by The IndianExpress iOS App Click here to download  ,232,1
209, Terrorists should not use women and children as a human shield period These airstrike were not done in a haste but with alot of restrain was being practiced by Pakistani LEA by repeatedly asking Interim govt of IEA to react on actionable intelligence given by Pak Army,269,0
210, PMLN is a terrorist party,26,1
211,  Zor sa bolo  Pak army zindabad  Phir sa bolo  Pak army zindabad  In terrorist ko ura k rakh da ga Pakistan zindabad,117,0
212,   Condemning Israel is Not Anti Semitism  Orthodox Jewish Rabbis Condemn Israel Will you Dare call them Anti Semitic  They protest against llegal Terrorist State of Israel  You know who is Anti Semitic Those who compare murderer of 6 million Hitler with popular leader mran,274,0
213, I believe Pak attack after the terrorist attack on Pak border army and killing of 7 Army personal,98,0
214,IOK sold out Pak soldout Loyal Khan deposed Puppets assume command Army lost ppls trust 5GW busted  Terrorist grps up amp running  ZarbAzb undone Div within the mil Surgical strikes  Sovernity compromised  Welldone son See you in Nov ,234,0
215,97 Pak Army soldiers and officers martyred in terrorist attacks on AfghanPak border from January to March Pakistan calls on Afghan government to stop terrorist attacks on its soil and says Doha agreement should be implemented Pak Army spokesman,244,0
216, Pak army is the leader of Taliban and other terrorist organisation coming out of Pakistan the land of terrorist   ,115,1
217, Its confirm Pak army support American terrorists organizations,63,1
218,Pak army airstrike against ttp terrorist not civilian but to day iskp attack on afg civilian ,93,0
219, Ye video Totally Propaganda K Aadhaar Par Banai gai hai Pehle TTP Terrorists ne Pak army Par Achanak Attack kar dia 6 Jawan Shaheed huwe 24 hrs main Pak Air Force ne Karwai ki Khoostan aur Kandhar main 40 Terrorists Mary gai hai note ye Operation AFG gvt ki ijajat se kiya gaya,278,0
220,    Say no to so called pak muslim army who kills woman and children in the holy month of Islam Say No to the puppets of US say No to shehbaz Sharif Haram khores they are the terrorist who killed more than 47 civilian Refugees or not they were innocent people,259,1
221,ISKP attacked a school in Kabul today killing 6 students  Pak army is hosting ISKP terrorists in their country and supporting them in Afghanistan  They are both child killers,174,1
222,  No point in talking to terrorist Pak Dont waste  your time and efforts on them to our own detriment Every peace talk is nevitably followed by a terrorist attack by the rogue Pak army So  dont endanger Indian lives Only way out is to bleed Pak,244,1
223,Pak Army men are terrorists in uniforms They are doing the grave HR violations over the vulnerable people of GB amp plundering their resources  The people are now protesting against the Army for the forced acquisition of land for CPEC projects   ,246,1
224, Pak army and Taliban need to do joint operations on ground to eliminate terrorists  drone strikes or air strikes are not the solution as it has been killing innocents women and children in past,194,0
225, Target Pak Army ISI headquarters where these attacks are plannedAnd take out terrorist leaders in Pak,102,1
226,  Shame on your disgusting attitude your terrorist state and army for killing the AFG women and children  Very soon the extremism and terrorists the parasite state of PAK has cultivated will destroy it from within     ,218,1
227,Action against terrorists in Afghanistan and false propaganda against Pak army  What is reality  Learn in this video  ,118,0
228,  I heard about soldiers of pak army who had died under terrorist attack which was handled from Afghanistan unknown sources told they were killed in pakistani air force strike,175,0
229,   Pak army is the true terrorist,33,1
230,  Innocent civilians were killed by Pak Army No terrorists,58,1
231, At least the Pak Army getting rid the foreign terrorist in Afghanistan,71,0
232, I dont buy it A temporary phase before pak reverts to mean Seen this too often Sq 1pak supports terrorism New guy tries Some improvement Pak army gets nervoushow to justify huge budgets amp corner plots sans an enemy Terrorist attack by pak to derail peace Back to Sq 1,270,1
233,  Thats what I said about recent BLA attack on pakistan Balouch freedom fighter injured  pakistani army terrorists in his quest for the liberation of balouchistan,162,1
234,Terrorist Imran  Terrorist Bajwa amp Corrupt Shebaz  Current Bangladesh GDP is  340 billions whereas Pakistans GDP is  260 billionsBangladesh is focussed on economic progress but on the other hand Pak govtsamp Army are looting their country amp people   ,254,1
235,  pak army needs to bomb these terrorist,40,0
236, Who is responsible for this divide Last 3 years were best in history of Pak regarding civilMil relations Khan was first PM who defended Army aggressively and shattered rogue army terrorist sponsoring army and all budget consuming narratives  But he got backstabed ,265,0
